"store_code","store_name","province_kh","district_en","district_kh","latitude","longitude","raw_delivery_store"
"CHHA006","Ta Ches","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","12.236991","104.669291","CHHA006 - Ta Ches"
"CHHA007","Prey Kri 01","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","12.164788","104.881038","CHHA007 - Prey Kri 01"
"CHHA008","Peam Chhkaok","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","12.207648","104.816967","CHHA008 - Peam Chhkaok"
"CHHA009","Krang Skear","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","12.238376","104.278047","CHHA009 - Krang Skear"
"CHHA010","Chhnok Tru","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","12.50071","104.4547","CHHA010 - Chhnok Tru"
"CHHA011","Svay Chrum","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","12.279551","104.591655","CHHA011 - Svay Chrum"
"CHHA012","Trangel","កំពង់ឆ្នាំង","Kampong Leaeng","កំពង់លែង","12.2854","104.729588","CHHA012 - Trangel"
"CHHA013","Phsar","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","12.381489","104.487486","CHHA013 - Phsar"
"CHHA014","Krang Leav","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","12.26828","104.610975","CHHA014 - Krang Leav"
"CHHA015","Chrey Bak","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","12.198668","104.653831","CHHA015 - Chrey Bak"
"CHHA016","Chieb","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","12.257837","104.660942","CHHA016 - Chieb"
"CHHA017","Prey Kri 02","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","12.257837","104.660942","CHHA017 - Prey Kri 02"
"CHHA018","Rolea B'ier","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","12.236872","104.669272","CHHA018 - Rolea B'ier"
"CHHA019","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","12.246661","104.671258","CHHA019 - Kampong Chhnang"
"CHHA020","Krang Lvea","កំពង់ឆ្នាំង","Sameakki Mean Chey","សាមគ្គីមានជ័យ","11.973961","104.561273","CHHA020 - Krang Lvea"
"CHHA021","Lungveaek","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","11.889892","104.708955","CHHA021 - Lungveaek"
"CHHA022","B'er","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","12.257863","104.660945","CHHA022 - B'er"
"CHHA023","Rolea Bier","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","12.166712","104.66471","CHHA023 - Rolea Bier"
"CHHA024","Phsar Trach","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","11.840042","104.716812","CHHA024 - Phsar Trach"
"CHHP001","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","12.259851","104.67255","CHHP001 - Kampong Chhnang"
"CHHS001","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","12.2529466","104.6681428","CHHS001 - Kampong Chhnang"
"CHHS002","Peani","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","11.9371944","104.7135","CHHS002 - Peani"
"KAMA001","Banteay Meas Khang Kaeut","កំពត","Banteay Meas","បន្ទាយមាស","10.646252","104.655786","KAMA001 - Banteay Meas Khang Kaeut"
"KAMA002","Tnoat Chong Srang","កំពត","Banteay Meas","បន្ទាយមាស","10.590003","104.690418","KAMA002 - Tnoat Chong Srang"
"KAMA003","Preaek Kroes","កំពត","Kampong Trach","កំពង់ត្រាច","10.540408","104.580345","KAMA003 - Preaek Kroes"
"KAMA005","Chhuk 01","កំពត","Chhuk","ឈូក","10.766813","104.495433","KAMA005 - Chhuk 01"
"KAMA006","KEP","កំពត","Kampot","កំពត","105.59244","104.3895","KAMA006 - KEP"
"KAMA007","Phnum Kong","កំពត","Angkor Chey","អង្គរជ័យ","10.774704","104.663157","KAMA007 - Phnum Kong"
"KAMA008","Lbaeuk","កំពត","Chhuk","ឈូក","10.826849","104.372241","KAMA008 - Lbaeuk"
"KAMA009","Dang Tung 01","កំពត","Kampot","កំពត","10.769814","104.373538","KAMA009 - Dang Tung 01"
"KAMA010","Koun Sat","កំពត","Tuek Chhou","ទឹកឈូ","10.601968","104.279321","KAMA010 - Koun Sat"
"KAMA011","Chhuk 02","កំពត","Chhuk","ឈូក","10.833158","104.450881","KAMA011 - Chhuk 02"
"KAMA012","Kaoh Touch","កំពត","Bokor","បូកគោ","10.559037","104.083316","KAMA012 - Kaoh Touch"
"KAMA013","Trapeang Reang","កំពត","Chum Kiri","ជុំគិរី","10.922155","104.423925","KAMA013 - Trapeang Reang"
"KAMA014","Dang Tung 02","កំពត","Kampot","កំពត","10.704072","104.447481","KAMA014 - Dang Tung 02"
"KAMA015","Preaek Tnaot 01","កំពត","Kampot","កំពត","10.578851","103.993994","KAMA015 - Preaek Tnaot 01"
"KAMA016","Prey Thnang","កំពត","Tuek Chhou","ទឹកឈូ","10.69138","104.253991","KAMA016 - Prey Thnang"
"KAMA017","Trapeang Sangkae","កំពត","Tuek Chhou","ទឹកឈូ","10.592727","104.247785","KAMA017 - Trapeang Sangkae"
"KAMA018","Kampong Kandal","កំពត","Kampot","កំពត","10.603561","104.186762","KAMA018 - Kampong Kandal"
"KAMA019","Ruessei Srok Khang Lech 01","កំពត","Kampong Trach","កំពង់ត្រាច","10.432794","104.448912","KAMA019 - Ruessei Srok Khang Lech 01"
"KAMA020","Kampong Trach Khang Kaeut","កំពត","Kampong Trach","កំពង់ត្រាច","10.558688","104.467121","KAMA020 - Kampong Trach Khang Kaeut"
"KAMA021","Trapeang Sala Khang Kaeut","កំពត","Banteay Meas","បន្ទាយមាស","10.705028","104.620335","KAMA021 - Trapeang Sala Khang Kaeut"
"KAMA022","Praphnum","កំពត","Angkor Chey","អង្គរជ័យ","10.839616","104.650137","KAMA022 - Praphnum"
"KAMA023","Ruessei Srok Khang Lech 02","កំពត","Kampong Trach","កំពង់ត្រាច","10.491692","104.457715","KAMA023 - Ruessei Srok Khang Lech 02"
"KAMA024","Ang Sophi","កំពត","Kampot","កំពត","10.55492","104.499998","KAMA024 - Ang Sophi"
"KAMA025","Damnak Kantuot Khang Cheung","កំពត","Kampong Trach","កំពង់ត្រាច","10.616107","104.451051","KAMA025 - Damnak Kantuot Khang Cheung"
"KAMA026","L ang","កំពត","Kampot","កំពត","10.741902","104.341575","KAMA026 - L ang"
"KAMA027","Tuk Meas Khang Lech","កំពត","Banteay Meas","បន្ទាយមាស","10.666234","104.560236","KAMA027 - Tuk Meas Khang Lech"
"KAMA028","Preaek Tnaot 02","កំពត","Kampot","កំពត","10.612442","103.931604","KAMA028 - Preaek Tnaot 02"
"KAMA029","Dambouk Khpuos","កំពត","Kampot","កំពត","10.776852","104.568238","KAMA029 - Dambouk Khpuos"
"KAMA030","Dong Tong","កំពត","Kampot","កំពត","10.62885","104.47109","KAMA030 - Dong Tong"
"KAMP001","Kampot","កំពត","Kampot","កំពត","10.619812","104.182473","KAMP001 - Kampot"
"KAMS001","Krang Ampil","កំពត","Kampot","កំពត","10.6143893","104.1821269","KAMS001 - Krang Ampil"
"KAMS002","Tuk Meas Khang Lech","កំពត","Banteay Meas","បន្ទាយមាស","10.667472","104.560635","KAMS002 - Tuk Meas Khang Lech"
"KAMS003","Satv Pong","កំពត","Chhuk","ឈូក","10.835357","104.454835","KAMS003 - Satv Pong"
"KANA001","Preaek Chrey","កណ្តាល","Ta Khmau","តាខ្មៅ","10.96737","105.10423","KANA001 - Preaek Chrey"
"KANA002","Sampov Pun 01","កណ្តាល","Ta Khmau","តាខ្មៅ","11.027526","105.05863","KANA002 - Sampov Pun 01"
"KANA003","Pou Ban 01","កណ្តាល","Ta Khmau","តាខ្មៅ","11.195817","105.061087","KANA003 - Pou Ban 01"
"KANA004","Settak bou","កណ្តាល","Ta Khmau","តាខ្មៅ","11.455657","105.029998","KANA004 - Settak bou"
"KANA005","Svay Rolum","កណ្ដាល","Ta Khmau","តាខ្មៅ","11.455178","104.999608","KANA005 - Svay Rolum"
"KANA006","Krang Youv","កណ្តាល","Ta Khmau","តាខ្មៅ","11.292181","104.947988","KANA006 - Krang Youv"
"KANA007","Khpob","កណ្ដាល","Leuk Daek","លើកដែក","11.265877","105.033555","KANA007 - Khpob"
"KANA008","Khpob Ateav","កណ្ដាល","Leuk Daek","លើកដែក","11.058028","105.191104","KANA008 - Khpob Ateav"
"KANA009","Kokir Thum","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.3343","105.241244","KANA009 - Kokir Thum"
"KANA010","Samraong Thum","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.398369","105.236634","KANA010 - Samraong Thum"
"KANA011","Cheung Kaeub","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.42506","104.875069","KANA011 - Cheung Kaeub"
"KANA012","Dei Ed","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.493478","105.097377","KANA012 - Dei Ed"
"KANA013","Chheu Teal 01","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.464371","104.977234","KANA013 - Chheu Teal 01"
"KANA014","Chheu Teal 02","កណ្ដាល","Kien Svay","កៀនស្វាយ","11.468815","105.025253","KANA014 - Chheu Teal 02"
"KANA017","Preaek Anhchanh","កណ្ដាល","Mukh Kampul","មុខកំពូល","11.741298","104.98207","KANA017 - Preaek Anhchanh"
"KANA018","Roka Kaong Ti Muoy","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.848625","104.994513","KANA018 - Roka Kaong Ti Muoy"
"KANA019","Kampong Luong","កណ្ដាល","Ponhea Lueu","ពញាឮ","11.819205","104.802207","KANA019 - Kampong Luong"
"KANA020","Preaek Koy","កណ្ដាល","S'ang","ស្អាង","11.367409","105.004007","KANA020 - Preaek Koy"
"KANA021","Preaek Hour 01","កណ្តាល","Ta Khmau","តាខ្មៅ","11.456473","104.932033","KANA021 - Preaek Hour 01"
"KANA022","Cheung Kaeub","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.439455","104.892452","KANA022 - Cheung Kaeub"
"KANA023","Preaek Hour 02","កណ្តាល","Ta Khmau","តាខ្មៅ","11.4466","104.88001","KANA023 - Preaek Hour 02"
"KANA024","Daeum Rues","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.418343","104.791698","KANA024 - Daeum Rues"
"KANA026","Traeuy Sla","កណ្ដាល","S'ang","ស្អាង","11.319958","105.067528","KANA026 - Traeuy Sla"
"KANA027","Preaek Ruessei","កណ្ដាល","Lvea Aem","ល្វាឯម","11.470329","104.936806","KANA027 - Preaek Ruessei"
"KANA028","Siem Reab","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.389382","104.863461","KANA028 - Siem Reab"
"KANA029","Kampong Samnanh","កណ្ដាល","Ta Khmau","តាខ្មៅ","11.460466","104.942209","KANA029 - Kampong Samnanh"
"KANA031","Preaek Ta Meak","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","11.749088","105.011697","KANA031 - Preaek Ta Meak"
"KANA033","Preaek Rey","កណ្ដាល","Lvea Aem","ល្វាឯម","11.528229","105.14387","KANA033 - Preaek Rey"
"KANA034","Roka Khpuos","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.420457","104.983317","KANA034 - Roka Khpuos"
"KANA036","Sambuor Meas","កណ្ដាល","Lvea Aem","ល្វាឯម","11.667183","104.866842","KANA036 - Sambuor Meas"
"KANA037","Sambuor","កណ្ដាល","Lvea Aem","ល្វាឯម","11.47773","105.162037","KANA037 - Sambuor"
"KANA038","Preaek Ruessei","កណ្ដាល","Lvea Aem","ល្វាឯម","11.4686","105.209882","KANA038 - Preaek Ruessei"
"KANA039","Chheu Khmau","កណ្តាល","Ta Khmau","តាខ្មៅ","11.048601","105.077687","KANA039 - Chheu Khmau"
"KANA040","Sampov Pun 02","កណ្តាល","Ta Khmau","តាខ្មៅ","10.954919","105.07873","KANA040 - Sampov Pun 02"
"KANA041","Leuk Daek","កណ្ដាល","Kaoh Thum","កោះធំ","11.130317","105.130143","KANA041 - Leuk Daek"
"KANA042","Pou Ban 02","កណ្តាល","Ta Khmau","តាខ្មៅ","11.182247","104.074302","KANA042 - Pou Ban 02"
"KANA043","Puk Ruessei","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","11.684915","104.968129","KANA043 - Puk Ruessei"
"KANA044","Svay Romiet 01","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","11.795103","105.015382","KANA044 - Svay Romiet 01"
"KANA045","Svay Romiet 02","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","11.8122","105.038624","KANA045 - Svay Romiet 02"
"KANA046","CHRUY SOPHAT","កណ្តាល","Ta Khmau","តាខ្មៅ","11.6601777","104.96405","KANA046 - CHRUY SOPHAT"
"KANA049","Roka","កណ្ដាល","Kandal Stueng","កណ្ដាលស្ទឹង","11.451665","104.720281","KANA049 - Roka"
"KANA066","Wat Prek Ampil","កណ្តាល","Ta Khmau","តាខ្មៅ","11.647094","104.957062","KANA066 - Wat Prek Ampil"
"KANP001","Ta Khmau","កណ្តាល","Ta Khmau","តាខ្មៅ","11.4777335","104.9487032","KANP001 - Ta Khmau"
"KANS001","Ta Khmao","កណ្ដាល","Ta Khmau","តាខ្មៅ","11.473225","104.94918","KANS001 - Ta Khmao"
