"id","branch_id","market","market_kh","province","province_kh","district","district_kh","commune","commune_kh","village","village_kh","latitude","longitude","google_maps_url"
"1","MON02","Kaev Seima Market","ផ្សារកែវសីមា","Mondul Kiri","មណ្ឌលគិរី","Kaev Seima","កែវសីមា","","","","","12.112367","106.886155","https://www.google.com/maps?q=12.112367,106.886155"
"2","MON","Kaoh Nheaek Market","ផ្សារកោះញែក","Mondul Kiri","មណ្ឌលគិរី","Kaoh Nheaek","កោះញែក","","","","","13.079141","107.0402","https://www.google.com/maps?q=13.079141,107.0402"
"3","KAM03","Tani Market","ផ្សារតានី","Kampot","កំពត","Angkor Chey","អង្គរជ័យ","Ankor Chey","អង្គរជ័យ","Angkor Chey Leu","អង្គរជ័យលើ","10.773671","104.661876","https://www.google.com/maps?q=10.773671,104.661876"
"4","KAM01","Samaki Market","ផ្សារសាមគ្គី","Kampot","កំពត","Kampot Municipality","ក្រុងកំពត","","","","","10.61534","104.180061","https://www.google.com/maps?q=10.61534,104.180061"
"5","KRA04","Sambour Market","ផ្សារសំបូរ","Kratie","ក្រចេះ","Sambour","សំបូរ","Sambour","សំបូរ","Sambour","សំបូរ","12.774901","105.964668","https://www.google.com/maps?q=12.774901,105.964668"
"6","KRA01","Kratie Market","ផ្សារក្រចេះ","Kratie","ក្រចេះ","Kracheh Municipality","ក្រុងក្រចេះ","Kracheh Sangkat","សង្កាត់ក្រចេះ","Kracheh","ក្រចេះ","12.484383","106.017797","https://www.google.com/maps?q=12.484383,106.017797"
"7","MON02","Ka3 Market","ផ្សារកាបី","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.13887","106.721222","https://www.google.com/maps?q=12.13887,106.721222"
"8","KRA03","Snuol Market","ផ្សារស្នួល","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.07564","106.421203","https://www.google.com/maps?q=12.07564,106.421203"
"9","KRA03","115 Market","ផ្សារ១១៥","Kratie","ក្រចេះ","Snuol","ស្នួល","Snuol","ស្នួល","Snuol Lech","ស្នួលលិច","12.129118","106.653876","https://www.google.com/maps?q=12.129118,106.653876"
"10","PRH01","Kampong Pranak","ផ្សារកំពង់ប្រណាក","Preah Vihear","ព្រះវិហារ","Preah Vihear Municipality","ក្រុងព្រះវិហារ","","","","","13.808539","104.978446","https://www.google.com/maps?q=13.808539,104.978446"
"11","MON","Pou Chrey Market","ផ្សារពោធិ៍ជ្រៃ","Mondul Kiri","មណ្ឌលគិរី","Pech Chreada","ពេជ្រាដា","Pu Chrey","ពូជ្រៃ","","","12.683793","107.218863","https://www.google.com/maps?q=12.683793,107.218863"
"12","KRA03","Phnom Prich Market","ផ្សារផនូម ព្រីច","Kratie","ក្រចេះ","Snuol","ស្នួល","Khsuem","ឃ្សឹម","","","12.294277","106.397923","https://www.google.com/maps?q=12.294277,106.397923"
"13","KRA01","Chher Teal Plos Market","ផ្សារឈើទាល ព្លួស","Kratie","ក្រចេះ","Chhloung","ឆ្លូង","Chhloung","ឆ្លូង","","","12.295781","106.034075","https://www.google.com/maps?q=12.295781,106.034075"
"14","PRH03","Choam Ksan","ផ្សារចាម កសាន","Preah Vihear","ព្រះវិហារ","Choam Ksant","ជាំក្សាន្ដ","Choam Ksant","ជាំក្សាន្ដ","Choam Ksant","ជាំក្សាន្ដ","14.218427","104.940373","https://www.google.com/maps?q=14.218427,104.940373"
"15","KRA01","Rokakandal Market","ផ្សាររូកាកណ្ដាល","Kratie","ក្រចេះ","Kracheh Municipality","ក្រុងក្រចេះ","Kracheh Sangkat","សង្កាត់ក្រចេះ","Kracheh","ក្រចេះ","12.470135","106.024407","https://www.google.com/maps?q=12.470135,106.024407"
"16","KRA01","Orussey Market","ផ្សារអូរឫស្សី","Kratie","ក្រចេះ","Kracheh Municipality","ក្រុងក្រចេះ","Kracheh Sangkat","សង្កាត់ក្រចេះ","Kracheh","ក្រចេះ","12.4968","106.036","https://www.google.com/maps?q=12.4968,106.036"
"17","PNP06","Tuol Sangke Market","ផ្សារទួលសង្កែ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Russey Keo Khan","ខណ្ឌឫស្សីកែវ","Tuol Sangkae 1 Sangkat","សង្កាត់ទួលសង្កែទី១","Toul sangke","ទួលសង្កែ","11.58809","104.915744","https://www.google.com/maps?q=11.58809,104.915744"
"18","KAM02","Tonhon Markit","ផ្សារតូញូន","Kampot","កំពត","Kampong Trach","កំពង់ត្រាច","Kampong Trach Khang Lech","កំពង់ត្រាចខាងលិច","Kampong Trach Ti  Pir","កំពង់ត្រាចទី ២","10.541216","104.58693","https://www.google.com/maps?q=10.541216,104.58693"
"19","PRE","Kampong Trabek Market","ផ្សារកំពង់ត្របែក","Prey Veng","ព្រៃវែង","Kampong Trabaek","កំពង់ត្របែក","Kampong Trabaek","កំពង់ត្របែក","Kampong Trabaek","កំពង់ត្របែក","11.144336","105.483717","https://www.google.com/maps?q=11.144336,105.483717"
"20","KAM02","Thnol Beak Markit","ផ្សារថ្នល់បែក","Kampot","កំពត","Kampong Trach","កំពង់ត្រាច","Kampong Trach Khang Lech","កំពង់ត្រាចខាងលិច","Kampong Trach Ti  Pir","កំពង់ត្រាចទី ២","10.555004","104.500555","https://www.google.com/maps?q=10.555004,104.500555"
"21","PNP05","Kanacity Market","ផ្សារកាណាស៊ីធី","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 2 Sangkat","សង្កាត់ចោមចៅទី២","Chaom Chau 2","ចោមចៅ២","11.528405","104.845036","https://www.google.com/maps?q=11.528405,104.845036"
"22","CHA03","Phav Market","ផ្សារផាវ","Kampong Cham","កំពង់ចាម","Kampong Cham Municipality","ក្រុងកំពង់ចាម","Kampong Cham Sangkat","សង្កាត់កំពង់ចាម","","","12.028333","104.9646","https://www.google.com/maps?q=12.028333,104.9646"
"23","PRE","Peam Market","ផ្សារពាម","Prey Veng","ព្រៃវែង","Peam Ro","ពាមរក៍","Peam Ro","ពាមរក៍","Peam Kaoh","ពាមកោះ","11.319409","105.281617","https://www.google.com/maps?q=11.319409,105.281617"
"24","PNP05","Tropang Thlong Market (ផ្សារត្រពាំងថ្លឹង)","ផ្សារត្រពាំងថ្លឹង","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Trapeang Krasang Sangkat","សង្កាត់ត្រពាំងក្រសាំង","Trapeang Tea","ត្រពាំងទា","11.530341","104.853338","https://www.google.com/maps?q=11.530341,104.853338"
"25","PRE","Snay Pul Maket","ផ្សារស្នាយពុល","Prey Veng","ព្រៃវែង","Pea Reang","ពារាំង","Prey Pnov","ព្រៃព្នៅ","Prey Pnov","ព្រៃព្នៅ","11.663996","105.218383","https://www.google.com/maps?q=11.663996,105.218383"
"26","KAM03","Chhueteal Market","ផ្សារឈើទាល","Kampot","កំពត","Angkor Chey","អង្គរជ័យ","Ankor Chey","អង្គរជ័យ","Angkor Chey Leu","អង្គរជ័យលើ","10.738014","104.665695","https://www.google.com/maps?q=10.738014,104.665695"
"27","PNP05","Eark Reach 1 Market","ផ្សា","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 1 Sangkat","សង្កាត់ចោមចៅទី១","Trapeang Thloeng 4","ត្រពាំងថ្លឹង៤","11.531809","104.86445","https://www.google.com/maps?q=11.531809,104.86445"
"28","CHH01","Toul Karket","ផ្សារទួល ការកេត","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang Municipality","ក្រុងកំពង់ឆ្នាំង","Kampong Chhnang Sangkat","សង្កាត់កំពង់ឆ្នាំង","","","12.227813","104.668957","https://www.google.com/maps?q=12.227813,104.668957"
"29","KAM01","Dey Huy","ផ្សារដីហ៊ុយ","Kampot","កំពត","Kampot Municipality","ក្រុងកំពត","Traeuy Kaoh Sangkat","សង្កាត់ត្រើយកោះ","","","10.605502","104.174125","https://www.google.com/maps?q=10.605502,104.174125"
"30","BAN01","Kandal Market","ផ្សារកណ្ដាល","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Phsar Kandal Sangkat","សង្កាត់ផ្សារកណ្តាល","Phsar Kandal","ផ្សារកណ្តាល","13.645227","102.590526","https://www.google.com/maps?q=13.645227,102.590526"
"31","KAN","Prek Touch","ផ្សារព្រែកតូច","Kandal","កណ្ដាល","S'ang","ស្អាង","S'ang Phnum","ស្អាងភ្នំ","Preaek Slaeng","ព្រែកស្លែង","11.367535","105.004195","https://www.google.com/maps?q=11.367535,105.004195"
"32","PRE","Prey Veng Market","ផ្សារព្រៃវែង","Prey Veng","ព្រៃវែង","Prey Veng Municipality","ក្រុងព្រៃវែង","","","","","11.48569","105.32023","https://www.google.com/maps?q=11.48569,105.32023"
"33","PNP05","K Mall Market","ផ្សារK មាលល","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 1 Sangkat","សង្កាត់ចោមចៅទី១","Trapeang Thloeng 4","ត្រពាំងថ្លឹង៤","11.532176","104.867162","https://www.google.com/maps?q=11.532176,104.867162"
"34","PNP02","Kilo4 Market","ផ្សារគីឡូ៤","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Tuek L'ak Ti Pir Sangkat","សង្កាត់ទឹកល្អក់ទី ២","","","11.564247","104.895975","https://www.google.com/maps?q=11.564247,104.895975"
"35","KAM02","Russey Srok Markit","ផ្សារឫស្សីស្រុក","Kampot","កំពត","Kampong Trach","កំពង់ត្រាច","Kampong Trach Khang Lech","កំពង់ត្រាចខាងលិច","Kampong Trach Ti  Pir","កំពង់ត្រាចទី ២","10.490616","104.457501","https://www.google.com/maps?q=10.490616,104.457501"
"36","CHA09","Ou Reang Ov Market","ផ្សារអូររាំងឪ","Tboung Khmum","ត្បូងឃ្មុំ","Ou Reang Ov","អូររាំងឪ","","","","","11.795719","105.50222","https://www.google.com/maps?q=11.795719,105.50222"
"37","SPE01","Chambot Market","ផ្សារចាមបូត","Kampong Speu","កំពង់ស្ពឺ","Samraong Tong","សំរោងទង","Samrong Tong","សំរោងទង","Samrong Tong Leu","សំរោងទងលើ","11.475292","104.563184","https://www.google.com/maps?q=11.475292,104.563184"
"38","PNP02","Khlaing Romsev Market","ផ្សារឃ្លាំងរំសេវ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Phsar Daeum Kor Sangkat","សង្កាត់ផ្សារដើមគរ","","","11.560151","104.901025","https://www.google.com/maps?q=11.560151,104.901025"
"39","TAK03","Sai Va Market","ផ្សារសៃ វា","Takeo","តាកែវ","Prey Kabbas","ព្រៃកប្បាស","Prey Kabbas","ព្រៃកប្បាស","Prey Kabbas Ko","ព្រៃកប្បាស គ","11.165315","104.878747","https://www.google.com/maps?q=11.165315,104.878747"
"40","BAN01","Serey Sophan Market","ផ្សារសិរីសោភ័ណ","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan Municipality","ក្រុងសិរីសោភ័ណ","","","","","13.586619","102.972185","https://www.google.com/maps?q=13.586619,102.972185"
"41","CHA04","Suong Market","ផ្សារសុូង","Tboung Khmum","ត្បូងឃ្មុំ","Suong Municipality","ក្រុងសួង","Suong Sangkat","សង្កាត់សួង","Suong Lech","សួងលិច","11.909298","105.65427","https://www.google.com/maps?q=11.909298,105.65427"
"42","KAM02","Kampnog Trach","ផ្សារកំពង់ ត្រាច","Kampot","កំពត","Kampong Trach","កំពង់ត្រាច","Kampong Trach Khang Lech","កំពង់ត្រាចខាងលិច","Kampong Trach Ti  Pir","កំពង់ត្រាចទី ២","10.558627","104.467039","https://www.google.com/maps?q=10.558627,104.467039"
"43","PNP01","Psar Thom Tmey","ផ្សារធំថ្មី","Phnom Penh Capital","រាជធានីភ្នំពេញ","Doun Penh Khan","ខណ្ឌដូនពេញ","Phsar Thmei Ti Muoy Sangkat","សង្កាត់ផ្សារថ្មីទី ១","","","11.569719","104.92202","https://www.google.com/maps?q=11.569719,104.92202"
"44","PRE","Kampong Ruessei Market","ផ្សារកំពង់ រុេសសី","Prey Veng","ព្រៃវែង","Pur Rieng","ពោធិ៍រៀង","Pou Rieng","ពោធិ៍រៀង","Pou Rieng Tboung","ពោធិ៍រៀងត្បូង","11.584181","105.213711","https://www.google.com/maps?q=11.584181,105.213711"
"45","PNP04","Chouk Meas Market","ផ្សារឈូក មេាស","Phnom Penh Capital","រាជធានីភ្នំពេញ","Saensokh Khan","ខណ្ឌសែនសុខ","Kouk Khleang Sangkat","សង្កាត់គោកឃ្លាង","Kouk Khleang","គោកឃ្លាង","11.575925","104.853578","https://www.google.com/maps?q=11.575925,104.853578"
"46","PNP02","Neak Meas Market","ផ្សារនេាក មេាស","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Phsar Daeum Kor Sangkat","សង្កាត់ផ្សារដើមគរ","","","11.557403","104.903833","https://www.google.com/maps?q=11.557403,104.903833"
"47","BAN01","Phalitphal Khmer","ផ្សារផាលីតផាល ខមេរ","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan Municipality","ក្រុងសិរីសោភ័ណ","","","","","13.589852","102.97264","https://www.google.com/maps?q=13.589852,102.97264"
"48","PRE","Rum Chek Market","ផ្សាររុម ចេក","Prey Veng","ព្រៃវែង","Preah Sdach","ព្រះស្ដេច","Kampong Soeng","កំពង់សឹង","","","11.196766","105.361697","https://www.google.com/maps?q=11.196766,105.361697"
"49","BAN02","Akak Market","ផ្សារាកាក","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Tuol Prasat","ទួលប្រាសាទ","13.657754","102.565851","https://www.google.com/maps?q=13.657754,102.565851"
"50","PNP08","Lim Chheang Hak","ផ្សារលីម ឆេាង ហាក","Phnom Penh Capital","រាជធានីភ្នំពេញ","Mean Chey Khan","ខណ្ឌមានជ័យ","Stueng Mean chey 3 Sangkat","សង្កាត់ស្ទឹងមានជ័យទី៣","","","11.527284","104.880732","https://www.google.com/maps?q=11.527284,104.880732"
"51","BAN02","Ou Snguot Tmey","ផ្សារអូរស្ងួតថ្មី","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Ou Prasat","អូរប្រាសាទ","Ou Prasat","អូរប្រាសាទ","13.463642","103.01407","https://www.google.com/maps?q=13.463642,103.01407"
"52","BAN02","Ou Orndounh","ផ្សារអូ ូរនដអូញ","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Kouk Ballangk","គោកបល្ល័ង្គ","Kouk Ballangk","គោកបល្ល័ង្ក","13.470129","103.052915","https://www.google.com/maps?q=13.470129,103.052915"
"53","BAN01","Thom Mean Chey Market","ផ្សារធំ មានជ័យ","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan Municipality","ក្រុងសិរីសោភ័ណ","","","","","13.59","102.970562","https://www.google.com/maps?q=13.59,102.970562"
"54","PNP05","Qmi Market","ផ្សារQMI","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 3 Sangkat","សង្កាត់ចោមចៅទី៣","Prey Pring Khang Tboung 2","ព្រៃព្រីងខាងត្បូង២","11.540926","104.818711","https://www.google.com/maps?q=11.540926,104.818711"
"55","BAN02","Trey Market","ផ្សារត្រេយ","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Poay Pet","ប៉ោយប៉ែត","13.65775","102.562619","https://www.google.com/maps?q=13.65775,102.562619"
"56","KAM03","Touk Meas","ផ្សារទូកមាស","Kampot","កំពត","Banteay Meas","បន្ទាយមាស","Banteay Meas Khang lech","បន្ទាយមាសខាងលិច","Banteay Meas","បន្ទាយមាស","10.668502","104.560742","https://www.google.com/maps?q=10.668502,104.560742"
"57","BAN01","Brotulden Oreussei Martket","ផ្សារប្រូតុលដេន អូរឫស្សី","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Poay Pet","ប៉ោយប៉ែត","13.683671","102.62368","https://www.google.com/maps?q=13.683671,102.62368"
"58","KAN","Phsar Kach Chrong","ផ្សារ កាច ចរូង","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Ta Khmao Sangkat","សង្កាត់តាខ្មៅ","Ta Khmao","តាខ្មៅ","11.469507","104.951217","https://www.google.com/maps?q=11.469507,104.951217"
"59","CHH01","Kompong Chhnang Market","ផ្សារកំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang Municipality","ក្រុងកំពង់ឆ្នាំង","Kampong Chhnang Sangkat","សង្កាត់កំពង់ឆ្នាំង","","","12.280805","104.665212","https://www.google.com/maps?q=12.280805,104.665212"
"60","BAN05","Rolous Market","ផ្សាររូលអូស","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Svay Chek","ស្វាយចេក","Ponsay Cheung","ពន្សាយជើង","13.805084","102.964792","https://www.google.com/maps?q=13.805084,102.964792"
"61","PNP02","Chan La Market","ផ្សារចាន លា","Phnom Penh Capital","រាជធានីភ្នំពេញ","Doun Penh Khan","ខណ្ឌដូនពេញ","Boeng Reang Sangkat","សង្កាត់បឹងរាំង","","","11.5528","104.903288","https://www.google.com/maps?q=11.5528,104.903288"
"62","SPE02","Odongk","ផ្សារូដូងក","Kampong Speu","កំពង់ស្ពឺ","Odongk","ឧដុង្គ","Trach Tong","ត្រាចទង","Boeng","បឹង","11.823312","104.743776","https://www.google.com/maps?q=11.823312,104.743776"
"63","PRE","Neak Loeung Market","ផ្សារអ្នកលឿង","Prey Veng","ព្រៃវែង","Peam Ro","ពាមរក៍","Neak Loeang","អ្នកលឿង","Neak Loeang","អ្នកលឿង","11.262113","105.287093","https://www.google.com/maps?q=11.262113,105.287093"
"64","PNP02","Derm Kor Market","ផ្សារដើមគរ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Phsar Daeum Kor Sangkat","សង្កាត់ផ្សារដើមគរ","","","11.55374","104.90232","https://www.google.com/maps?q=11.55374,104.90232"
"65","PNP05","Ekreach 2 Market","ផ្សារេក្រេាច 2","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 3 Sangkat","សង្កាត់ចោមចៅទី៣","Prey Pring Khang Tboung 2","ព្រៃព្រីងខាងត្បូង២","11.538128","104.819936","https://www.google.com/maps?q=11.538128,104.819936"
"66","PNP08","Tom Nubthmey","ផ្សារតូម នុបថមេយ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Dangkao Khan","ខណ្ឌដង្កោ","Dangkao Sangkat","សង្កាត់ដង្កោ","Sambuor","សំបួរ","11.523539","104.895125","https://www.google.com/maps?q=11.523539,104.895125"
"67","PRE","Svay Antor Market","ផ្សារស្វាយអន្ទរ","Prey Veng","ព្រៃវែង","Svay Antor","ស្វាយអន្ទរ","Svay Antor","ស្វាយអន្ទរ","Svay Antor Ti Pir","ស្វាយអន្ទរទី ២","11.563911","105.414662","https://www.google.com/maps?q=11.563911,105.414662"
"68","BAN02","Derm Puthrea Market","ផ្សារដេរម ពុថរេា","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Poay Pet","ប៉ោយប៉ែត","13.658558","102.560398","https://www.google.com/maps?q=13.658558,102.560398"
"69","SPE01","Prey Phet Market","ផ្សារព្រៃភេត","Kampong Speu","កំពង់ស្ពឺ","Samraong Tong","សំរោងទង","Krang Ampil","ក្រាំងអំពិល","","","11.482972","104.611592","https://www.google.com/maps?q=11.482972,104.611592"
"70","KAM02","Pong Toek","ផ្សារពងទឹក","Kep","កែប","Damnak Chang'aeur","ដំណាក់ចង្អើរ","Pong Tuek","ពងទឹក","","","10.533954","104.382663","https://www.google.com/maps?q=10.533954,104.382663"
"71","CHA03","Tum Nob Market","ផ្សារទំនប់","Kampong Cham","កំពង់ចាម","Batheay","បាធាយ","Batheay","បាធាយ","Batheay","បាធាយ","12.086489","104.973963","https://www.google.com/maps?q=12.086489,104.973963"
"72","BAT04","Thma Koul Markat","ផ្សារថ្មគោល","Battambang","បាត់ដំបង","Thma Koul","ថ្មគោល","","","","","13.26227","103.088585","https://www.google.com/maps?q=13.26227,103.088585"
"73","PNP08","Som Bou Meas","ផ្សារសូម បអូ មេាស","Phnom Penh Capital","រាជធានីភ្នំពេញ","Dangkao Khan","ខណ្ឌដង្កោ","Dangkao Sangkat","សង្កាត់ដង្កោ","Khva","ខ្វា","11.519953","104.883918","https://www.google.com/maps?q=11.519953,104.883918"
"74","CHH01","Psar Ler Market","ផ្សារ លើ","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang Municipality","ក្រុងកំពង់ឆ្នាំង","Kampong Chhnang Sangkat","សង្កាត់កំពង់ឆ្នាំង","","","12.255166","104.669102","https://www.google.com/maps?q=12.255166,104.669102"
"75","BAN01","Reatrey Market Banteay Meanchey","ផ្សាររេាត្រេយ បន្ទាយមានជ័យ","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan Municipality","ក្រុងសិរីសោភ័ណ","Preah Ponlea Sangkat","សង្កាត់ព្រះពន្លា","Preah Ponlea","ព្រះពន្លា","13.58741","102.979476","https://www.google.com/maps?q=13.58741,102.979476"
"76","CHA01","7 Makara","ផ្សារ៧មករា","Kampong Cham","កំពង់ចាម","Kampong Cham Municipality","ក្រុងកំពង់ចាម","Kampong Cham Sangkat","សង្កាត់កំពង់ចាម","","","11.977313","105.459108","https://www.google.com/maps?q=11.977313,105.459108"
"77","KAN","Dermpor Market","ផ្សារដេរមពូរ","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Ta Khmao Sangkat","សង្កាត់តាខ្មៅ","Ta Khmao","តាខ្មៅ","11.458531","104.981651","https://www.google.com/maps?q=11.458531,104.981651"
"78","TAK01","Phsa Nat Market","ផ្សារ នាត","Takeo","តាកែវ","Doun Kaev Municipality","ក្រុងដូនកែវ","","","","","10.994327","104.78508","https://www.google.com/maps?q=10.994327,104.78508"
"79","PRE","Baphnom Market","ផ្សារបាភ្នំ","Prey Veng","ព្រៃវែង","Ba Phnum","បាភ្នំ","Cheung Phnum","ជើងភ្នំ","","","11.257917","105.40039","https://www.google.com/maps?q=11.257917,105.40039"
"80","BAN01","O’Neang Market","ផ្សារូ’នេាង","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Poay Pet","ប៉ោយប៉ែត","13.694559","102.651137","https://www.google.com/maps?q=13.694559,102.651137"
"81","BAN02","Big C Market","ផ្សារ Big C","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet Municipality","ក្រុងប៉ោយប៉ែត","Paoy Paet Sangkat","សង្កាត់ប៉ោយប៉ែត","Poay Pet","ប៉ោយប៉ែត","13.671097","102.55763","https://www.google.com/maps?q=13.671097,102.55763"
"82","PNP01","Phsar Ta Pang","ផ្សារ តា ពាង","Phnom Penh Capital","រាជធានីភ្នំពេញ","Doun Penh Khan","ខណ្ឌដូនពេញ","","","","","11.569131","104.92273","https://www.google.com/maps?q=11.569131,104.92273"
"83","CHA05","Dar Market","ផ្សារដារ","Tboung Khmum","ត្បូងឃ្មុំ","Memot","មេមត់","Memot","មេមត់","Memot Phsar","មេមត់ផ្សារ","11.789725","106.093701","https://www.google.com/maps?q=11.789725,106.093701"
"84","CHH01","Psar Khrom Market","ផ្សារក្រោម","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang Municipality","ក្រុងកំពង់ឆ្នាំង","Kampong Chhnang Sangkat","សង្កាត់កំពង់ឆ្នាំង","","","12.265107","104.678583","https://www.google.com/maps?q=12.265107,104.678583"
"85","PRH03","Heng Phea Sream","ផ្សារហេង ផេា ស្រេាម","Preah Vihear","ព្រះវិហារ","Choam Ksant","ជាំក្សាន្ដ","Sror Aem","ស្រអែម","Sra aem Khang Cheung","ស្រអែមខាងជើង","14.237905","104.732241","https://www.google.com/maps?q=14.237905,104.732241"
"86","KAN01","Prekho  Market","ផ្សារព្រេខូ","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Ta Khmao Sangkat","សង្កាត់តាខ្មៅ","Ta Khmao","តាខ្មៅ","11.456117","104.932051","https://www.google.com/maps?q=11.456117,104.932051"
"87","SPE01","Trapeang Kong Market","ផ្សារត្រពាំងគង","Kampong Speu","កំពង់ស្ពឺ","Samraong Tong","សំរោងទង","Samrong Tong","សំរោងទង","Samrong Tong Leu","សំរោងទងលើ","11.485119","104.624282","https://www.google.com/maps?q=11.485119,104.624282"
"88","CHH01","Prey Khmer Market","ផ្សារព្រៃខ្មែរ","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Prey Mul","ព្រៃមូល","Prey Kraol","ព្រៃក្រោល","12.17183","104.663322","https://www.google.com/maps?q=12.17183,104.663322"
"89","TAK03","Samrong Yaong Market","ផ្សារសំរោងយ៉ោង","Takeo","តាកែវ","Bati","បាទី","Chambak","ចំបក់","Bacham","បចាម","11.264915","104.825458","https://www.google.com/maps?q=11.264915,104.825458"
"90","KAN","Svay Rolum Market","ផ្សារស្វាយរលំ","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Ta Khmao Sangkat","សង្កាត់តាខ្មៅ","Ta Khmao","តាខ្មៅ","11.455651","104.990203","https://www.google.com/maps?q=11.455651,104.990203"
"91","TAK03","Prey Lvea Market","ផ្សារព្រៃល្វា","Takeo","តាកែវ","Prey Kabbas","ព្រៃកប្បាស","Prey Lvea","ព្រៃល្វា","Prey Lvea Lech","ព្រៃល្វាលិច","11.162248","104.958285","https://www.google.com/maps?q=11.162248,104.958285"
"92","ODD01","Somrong Market","ផ្សារសំរោង","Oddar Meanchey","ឧត្ដរមានជ័យ","Samraong Municipality","ក្រុងសំរោង","Samraong Sangkat","សង្កាត់សំរោង","Samraong","សំរោង","14.175077","103.507135","https://www.google.com/maps?q=14.175077,103.507135"
"93","CHA09","Chi Her","ផ្សារចី ហេរ","Kampong Cham","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","Kaoh Sotin","កោះសូទិន","","","11.900965","105.42545","https://www.google.com/maps?q=11.900965,105.42545"
"94","PNP04","2002 Market","ផ្សារ២០០២","Phnom Penh Capital","រាជធានីភ្នំពេញ","Saensokh Khan","ខណ្ឌសែនសុខ","Ou Baek K'am Sangkat","សង្កាត់អូរបែកក្អម","Ou Baek K'am","អូរបែកក្អម","11.556693","104.885771","https://www.google.com/maps?q=11.556693,104.885771"
"95","KAM02","Donnakchongeir Market","ផ្សារដូននាកចូងីរ","Kep","កែប","","","","","","","10.540993","104.319894","https://www.google.com/maps?q=10.540993,104.319894"
