"id","branch_id","market","market_kh","province","province_kh","district","district_kh","commune","commune_kh","village","village_kh","latitude","longitude","google_maps_url"
"286","ODD01","Cohng​ Kal Market","ផ្សារកូហង​ កាល","Oddar Meanchey","ឧត្ដរមានជ័យ","Chong Kal","ចុងកាល់","Chong Kal","ចុងកាល់","Chong Kal","ចុងកាល់","13.950206","103.571652","https://www.google.com/maps?q=13.950206,103.571652"
"287","BAT02","Ta Ngean Market","ផ្សារតាង៉ែន","Battambang","បាត់ដំបង","Banan","បាណន់","Phnum Sampov","ភ្នំសំពៅ","Samnanh","សំណាញ់","13.0746","102.98427","https://www.google.com/maps?q=13.0746,102.98427"
"288","CHA01","Beungkouk","ផ្សារបឹងកុក","Kampong Cham","កំពង់ចាម","Kampong Cham Municipality","ក្រុងកំពង់ចាម","Kampong Cham Sangkat","សង្កាត់កំពង់ចាម","","","11.996568","105.463315","https://www.google.com/maps?q=11.996568,105.463315"
"289","KAN","Ta Mok Market","ផ្សារតាម៉ុក","Kandal","កណ្ដាល","S'ang","ស្អាង","Kaoh Khsach Tonlea","កោះខ្សាច់ទន្លា","Kandal Kaoh","កណ្ដាលកោះ","11.333953","105.033457","https://www.google.com/maps?q=11.333953,105.033457"
"290","KAN","Praktadoul","ផ្សារប្រក្តាដួល","Kandal","កណ្ដាល","Kaoh Thum","កោះធំ","Kaoh Thum Ka","កោះធំ ‹ក›","Kbal Kaoh Thum","ក្បាលកោះធំ","11.196425","105.061325","https://www.google.com/maps?q=11.196425,105.061325"
"291","SPE01","Pich Nill Market","ផ្សារពីច នីលល","Kampong Speu","កំពង់ស្ពឺ","Phnum Sruoch","ភ្នំស្រួច","Traeng Trayueng","ត្រែងត្រយឹង","Phsar Traeng Trayueng","ផ្សារត្រែងត្រយឹង","11.212357","104.118137","https://www.google.com/maps?q=11.212357,104.118137"
"292","PNP07","Boeung Trabek","ផ្សារបឹងត្របែក","Phnom Penh Capital","រាជធានីភ្នំពេញ","Chamkar Mon Khan","ខណ្ឌចំការមន","Boeng Trabaek Sangkat","សង្កាត់បឹងត្របែក","","","11.53982","104.919513","https://www.google.com/maps?q=11.53982,104.919513"
"293","SPE02","Krang Chek","ផ្សារក្រាំងចេក","Kampong Speu","កំពង់ស្ពឺ","Kong Pisei","គងពិសី","","","","","11.583708","104.532112","https://www.google.com/maps?q=11.583708,104.532112"
"294","KAN","Korm Phong Chamlorg","ផ្សារកូរម ផូង ចាមលូរហ្គ","Kandal","កណ្ដាល","Leuk Daek","លើកដែក","Sandar","សណ្ដារ","Kandal","កណ្ដាល","11.260983","105.274565","https://www.google.com/maps?q=11.260983,105.274565"
"295","PRE","Tean Phleung Market","ផ្សារតេាន ផលេុង","Prey Veng","ព្រៃវែង","Kamchay Mear","កំចាយមារ","Seang Khveang","ស៊ាងឃ្វាង","","","11.554343","105.623557","https://www.google.com/maps?q=11.554343,105.623557"
"296","BAT01","Apsara Phsar Leu","ផ្សារាពសារា ផ្សារ លើ","Battambang","បាត់ដំបង","Battambang Municipality","ក្រុងបាត់ដំបង","","","","","13.085227","103.199096","https://www.google.com/maps?q=13.085227,103.199096"
"297","ODD03","Trapeang Prat","ផ្សារត្រពាំងប្រិត","Oddar Meanchey","ឧត្ដរមានជ័យ","Trapeang Prasat","ត្រពាំងប្រាសាទ","Trapeang Prasat","ត្រពាំងប្រាសាទ","Trapeang Prasat","ត្រពាំងប្រាសាទ","14.194515","104.353522","https://www.google.com/maps?q=14.194515,104.353522"
"298","KAM04","Chhouk Market","ផ្សារឈូក","Kampot","កំពត","Chhuk","ឈូក","Chhuk","ឈូក","","","10.835998","104.456704","https://www.google.com/maps?q=10.835998,104.456704"
"299","PNP05","Chom Chao Market","ផ្សារចោមចៅ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 3 Sangkat","សង្កាត់ចោមចៅទី៣","Prey Tea 2","ព្រៃទា២","11.533751","104.830483","https://www.google.com/maps?q=11.533751,104.830483"
"300","BAT03","Jon Klong Market","ផ្សារជូន កលូង","Battambang","បាត់ដំបង","Moung Ruessei","មោងឫស្សី","","","","","12.919276","103.363838","https://www.google.com/maps?q=12.919276,103.363838"
"301","KAN","Svayromeit Market","ផ្សារស្វាយរមៀត","Kandal","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","","","","","11.795069","105.015441","https://www.google.com/maps?q=11.795069,105.015441"
"302","PNP02","Tuol Kork Market","ផ្សារទួលគោក","Phnom Penh Capital","រាជធានីភ្នំពេញ","Tuol Kouk Khan","ខណ្ឌទួលគោក","Boeng Kak Ti Pir Sangkat","សង្កាត់បឹងកក់ទី ២","","","11.575145","104.897792","https://www.google.com/maps?q=11.575145,104.897792"
