"No","ID","EN name","KH name","province_id","province_en","province_kh","district_id","district_en","district_kh","district_id","commune_","commune_","commune"
"30","9030","Ang Ta Som Market","ផ្សារអង្គតាសោម","21","Takeo","តាកែវ","2109","Tram Kak","ត្រាំកក់","2109","210901","Angk Ta Saom","អង្គតាសោម"
"31","9031","Kirivong Market","ផ្សារគិរីវង់","21","Takeo","តាកែវ","2104","Kiri Vong","គីរីវង់","2104","210405","Kiri Chong Kaoh","គីរីចុងកោះ"
"32","9032","Prey Veng Market","ផ្សារព្រៃវែង","14","Prey Veng","ព្រៃវែង","1410","Prey Veng","ព្រៃវែង","1410","141003","Kampong Leav","កំពង់លាវ"
"33","9033","Neak Leung Market","ផ្សារអ្នកលឿង","14","Prey Veng","ព្រៃវែង","1407","Peam Ro","ពាមរក៍","1407","140705","Peam Ro","ពាមរក៍"
"34","9034","Svay Rieng Market","ផ្សារស្វាយរៀង","20","Svay Rieng","ស្វាយរៀង","2006","Svay Rieng","ស្វាយរៀង","2006","200604","Pou Ta Hao","ពោធិ៍តាហោ"
"35","9035","Psar Nat Svay Rieng","ផ្សារស្វាយរៀង","20","Svay Rieng","ស្វាយរៀង","2006","Svay Rieng","ស្វាយរៀង","2006","200604","Pou Ta Hao","ពោធិ៍តាហោ"
"36","9036","Bavet Market","ផ្សារបាវិត","20","Svay Rieng","ស្វាយរៀង","2008","Bavet","បាវិត","2008","200805","Prey Angkunh","ព្រៃអង្គុញ"
"37","9037","Kampong Speu Market","ផ្សារកំពង់ស្ពឺ","05","Kampong Speu","កំពង់ស្ពឺ","0502","Chbar Mon","ច្បារមន","0502","050201","Chbar Mon","ច្បារមន"
"38","9038","Chbar Mon Market","ផ្សារច្បារមន","05","Kampong Speu","កំពង់ស្ពឺ","0502","Chbar Mon","ច្បារមន","0502","050201","Chbar Mon","ច្បារមន"
"39","9039","Kampong Chhnang Market","ផ្សារកំពង់ឆ្នាំង","04","Kampong Chhnang","កំពង់ឆ្នាំង","0403","Kampong Chhnang","កំពង់ឆ្នាំង","0403","040302","Kampong Chhnang","កំពង់ឆ្នាំង"
"40","9040","Phsar Leu Kampong Chhnang","ផ្សារលើកំពង់ឆ្នាំង","04","Kampong Chhnang","កំពង់ឆ្នាំង","0403","Kampong Chhnang","កំពង់ឆ្នាំង","0403","040302","Kampong Chhnang","កំពង់ឆ្នាំង"
"41","9041","Kampong Thom Market","ផ្សារកំពង់ធំ","06","Kampong Thom","កំពង់ធំ","0603","Stueng Saen","ស្ទឹងសែន","0603","060309","Achar Leak","អាចារ្យលាក់"
"42","9042","Phsar Kampong Thom","ផ្សារកំពង់ធំ","06","Kampong Thom","កំពង់ធំ","0603","Stueng Saen","ស្ទឹងសែន","0603","060309","Achar Leak","អាចារ្យលាក់"
"43","9043","Stoung Market","ផ្សារស្ទោង","06","Kampong Thom","កំពង់ធំ","0608","Stoung","ស្ទោង","0608","060801","Banteay Stoung","បន្ទាយស្ទោង"
"44","9044","Pursat Market","ផ្សារពោធិ៍សាត់","15","Pursat","ពោធិ៍សាត់","1505","Pursat","ពោធិ៍សាត់","1505","150507","Svay At","ស្វាយអាត់"
"45","9045","Phsar Thmey Pursat","ផ្សារថ្មីពោធិ៍សាត់","15","Pursat","ពោធិ៍សាត់","1505","Pursat","ពោធិ៍សាត់","1505","150507","Svay At","ស្វាយអាត់"
"46","9046","Krakor Market","ផ្សារក្រគរ","15","Pursat","ពោធិ៍សាត់","1503","Krakor","ក្រគរ","1503","120209","Phsar Chas","ផ្សារចាស់"
"47","9047","Poipet Market","ផ្សារប៉ោយប៉ែត","01","Banteay Meanchey","បន្ទាយមានជ័យ","0110","Paoy Paet","ប៉ោយប៉ែត","0110","011003","Phsar Kandal","ផ្សារកណ្តាល"
"48","9048","Serei Saophoan Market","ផ្សារសិរីសោភ័ណ","01","Banteay Meanchey","បន្ទាយមានជ័យ","0106","Serei Saophoan","សិរីសោភ័ណ","0106","010607","Preah Ponlea","ព្រះពន្លា"
